,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
4454,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2933-the-lead-san-isidro-lima-lima-edifica,The Lead,-12.093732,-77.0266056,"Av rivera navarrete 665, san isidro",San Isidro,En construcción,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 6,Pisos: Entre 4 al 19,1,45.00 m2,"S/ 540,094"
2493,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3207-edificio-urbanzen-jesus-maria-lima-lima-grupo-cygnus,Edificio Urbanzen,-12.0810837,-77.054341,Jr. Estados Unidos 405 - Jesús María,Jesus Maria,En planos,"31 de Marzo, 2026",Banco BCP,"['Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,Tipo 1403,Piso: 14,3,112.69 m2,"S/ 919,977"
5838,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2749-gran-plaza-loreto-bre%C3%B1a-lima-lima-los-portales-departamentos,Gran Plaza Loreto,-12.06351963135304,-77.05333524383606,Jirón Loreto 1590,Breña,En construcción,"01 de Diciembre, 2024",Banco BANBIF,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,3D,Pisos: Entre 1 al 8,3,57.85 m2,"S/ 368,215"
2176,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1918-muvin-lince-lima-lima-cosapi,MUVIN,-12.08216994328835,-77.02847027765532,Av. Prolongación Iquitos 1870,Lince,Entrega inmediata,"30 de Abril, 2024",Banco BANBIF,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Karaoke', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Departamento tipo X01,"Pisos: 2, 11, 18",3,68.12 m2,"S/ 541,950"
3576,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3237-valle-grande-4-carabayllo-lima-lima-enacorp,VALLE GRANDE 4,-11.862355623377484,-77.05571705709315,Av. San Juan de Dios s/n Paradero Haras - Carabayllo,Carabayllo,En construcción,"01 de Noviembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 18,Piso: 5,3,54.74 m2,"S/ 85,695"
492,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2800-derby-182-santiago-de-surco-lima-lima-v&v-grupo-inmobiliario,DERBY 182,-12.097971285025372,-76.97209653907143,Derby 182,Santiago De Surco,En planos,"30 de Junio, 2026",Otros,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,Tipo X02A,Pisos: Entre 9 al 15,2,58.50 m2,"S/ 468,000"
6332,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2989-the-park-cercado-de-lima-lima-lima-inversiones-tierra-blanca,THE PARK,-12.062689220117802,-77.0770292682218,Santa Mariana de Paredes 494,Cercado de lima,En planos,"31 de Julio, 2025",Banco BCP,"['Lobby', 'Otros']",flat,TIPO 1,"Pisos: 2, 3, 5, 6",3,70.50 m2,"S/ 419,300"
251,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2115-alborada-san-miguel-lima-lima-grupo-mg,ALBORADA,-12.085133683930286,-77.09409531208384,Av. La Paz 1150,San Miguel,Entrega inmediata,"31 de Octubre, 2023",Banco BCP,"['Área de juegos para niños', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",duplex,B10,Piso: 16,2,71.80 m2,"S/ 349,500"
1102,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2986-mykonos-chorrillos-lima-lima-ifi-inmobiliaria,MYKONOS,-12.1570129441832,-77.02366702772603,Calle Dario torres 153,Chorrillos,En construcción,"31 de Enero, 2025",Otros,"['Gimnasio', 'Lobby', 'Sala Bar', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO 3A,Piso: 1,1,63.00 m2,"S/ 411,000"
4882,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3067-cosmos-miraflores-lima-lima-llosa-edificaciones-urban,COSMOS,-12.118554202086711,-77.03987712638173,óvalo julio ramon ribeyro,Miraflores,En planos,"30 de Julio, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,16,Pisos: Entre 13 al 22,3,109.37 m2,"$ 324,938"
